ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,mode,ratio_type,numerator,denominator,ratio,LL95CI,UL95CI,ratio_se,ratio_rse,CA_decile,CA_RR,groupquarters,version
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Capita,1214809885.1975641,33493643.620531701,36.269863600000001,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Capita,4020868984.5574059,33493643.620531701,120.0487182,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CA,06,California,,,,,Vehicle,Miles Per Capita,321606737265.95099,34944563,9203.3412255000003,NA,NA,NA,NA,,1,823151,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Square Mile,1214809885.1975641,155779.22,7798.2794187999998,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Square Mile,4020868984.5574059,155779.22,25811.3308345,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CA,06,California,,,,,Vehicle,Miles Per Square Mile,321606737265.95099,155779.22,2064503.4508835999,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002-2004,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Capita,1298578451.5401323,33563439.043040998,38.690268000000003,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002-2004,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Capita,4068231549.3309426,33563439.043040998,121.21021159999999,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002-2004,9,Total,CA,06,California,,,,,Vehicle,Miles Per Capita,324560762570.69501,35343933.666666701,9182.9269948000001,NA,NA,NA,NA,,1,824140.66666670004,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002-2004,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Square Mile,1298578451.5401323,155779.22,8336.0184466999999,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002-2004,9,Total,CA,06,California,,,,,Pedestrian,Miles Per Square Mile,4068231549.3309426,155779.22,26115.367308500001,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002-2004,9,Total,CA,06,California,,,,,Vehicle,Miles Per Square Mile,324560762570.69501,155779.22,2083466.3478909,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2003,9,Total,CA,06,California,,,,,Bicyclist,Miles Per Capita,1298578451.540132,33563439.043040998,38.690268000000003,NA,NA,NA,NA,,1,,10/09/2014 11:20:00 AM
